Book,Character
Harry Potter and the Half-Blood Prince,"Between the release of Half-Blood Prince and Deathly Hallows, fans wondered who ""R.A.B."" could be; many people believed it to be Regulus Black. J. K. Rowling would not explicitly say it was Regulus, but commented that he was a ""good guess."" Between the releases of the two books, she would drop hints about R.A.B.'s identity; one such hint was that the final book would introduce no new characters: this led many fans to believe it had to be a character introduced in a previous book."
Harry Potter and the Half-Blood Prince,"When Harry is hiding the Half-Blood Prince's book in the Room of Requirement, he opens a cupboard and inside is something in a cage that had long-since died; its skeleton had five legs; this could possibly be the skeleton of a Quintaped."
Harry Potter and the Half-Blood Prince,"Many readers believed that Dumbledore was not actually dead, and postulated many theories to explain how his death had been faked. A website was even created entitled ""Dumbledoreisnotdead.com"". J.K. Rowling later stated in an interview that ""Dumbledore is definitely dead."" This was definitively confirmed in Harry Potter and the Deathly Hallows."
Harry Potter and the Half-Blood Prince,"In the Simpsons episode ""The Bob Next Door"", Sideshow Bob spoils the book's ending by revealing that Snape killed Dumbledore, to which Bart complains he hadn't gotten to that part yet and Sideshow Bob responds ""It's a four year old book!""."
Harry Potter and the Half-Blood Prince,"Also, in the Big Bang Theory episode ""The Spoiler Alert Segmentation"", Sheldon reveals Dumbledore's death to Leonard while he reads it, much to his anger (though the book would have been seven years old at the time)."
Harry Potter and the Half-Blood Prince,"This is the first book in the series where Harry was right about who the enemy was. In Philosopher's Stone they thought Snape was after the stone when it was Quirrell; in Chamber of Secrets they thought Malfoy opened the Chamber of Secrets, and that Hagrid opened it the first time, when it was really Riddle on both occasions; in Prisoner of Azkaban, everyone thought Sirius was a mass murderer and follower of Voldemort, when it was really Pettigrew; and in Harry Potter and the Goblet of Fire, they thought Karkaroff put Harry's name in the Goblet of Fire when it was really Barty Crouch Jnr."
Harry Potter and the Half-Blood Prince,Snape is revealed to be the Half-Blood Prince. This marks the second time someone at Hogwarts is revealed to be a wizard under a different name. The first was Tom Riddle when he was revealed to be Voldemort in Chamber of Secrets.
Harry Potter and the Half-Blood Prince,This also marks the second time Harry Potter and Draco Malfoy duel.
Harry Potter and the Half-Blood Prince,"This marks Draco Malfoy's first trip to Diagon Alley, and Knockturn Alley, since Chamber of Secrets (although it is very likely that he visited each year in between, but did not meet Harry there.)"
Harry Potter and the Half-Blood Prince,"The Spanish version, the name is Harry Potter y el Misterio del Príncipe, which means Harry Potter and the Mystery of the Prince. Something similar happens in the second book."
Harry Potter and the Half-Blood Prince,"Slughorn called Ron Rupert during Aragog's funeral, ironically, the actor that plays Ron in the films is called Rupert Grint. J.K Rowling may have intentionally done this, as she would obviously be aware that Rupert Grint played Ron Weasley in the film adaptations of the books."
Harry Potter and the Half-Blood Prince,Cheryl Klein served as the title's continuity editor.
Harry Potter and the Half-Blood Prince,"The first chapter, ""The Other Minister,"" is a re-purpose of an early draft for the first chapter of the first title, Harry Potter and the Philosopher's Stone. In this draft, Rubeus Hagrid visited Cornelius Fudge, who was the Prime Minister of muggles, to inform him of Voldemort being responsible for a number of disappearances and to ask him to alert the public of certain facts. Fudge fears that Vernon Dursley, his political opponent, will try to take his position, only to learn that Dursley is already aware of the existence of wizards. The chapter ends with Hagrid informing Dursley of Voldemort's disappearance, due to Voldemort's attempt to kill Harry. This draft can be read in Harry Potter: A Journey Through a History of Magic."
Harry Potter and the Half-Blood Prince,"Although Lord Voldemort (as well as the previous Tom Riddle) appear in numerous memories, he never appears in person. This one of only two books, after the Prisoner of Azkaban, where he does not make an appearance. However, he is still the primary protagonist, unlike the Prisoner of Azkaban where he is almost completely irrelevant to the plot."
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince (film)
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince (video game)
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince (soundtrack)
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince (character index)
Harry Potter and the Half-Blood Prince,1996–1997 school year
Harry Potter and the Half-Blood Prince,Sixth year
Harry Potter and the Half-Blood Prince,↑ http://www.jkrowling.com
Harry Potter and the Half-Blood Prince,"^ http://www.latimes.com/news/nationworld/nation/la-071805potter_lat,0,4363703.story?coll=la-home-headlines"
Harry Potter and the Half-Blood Prince,^ http://web.archive.org/web/20050714043333/http://www.cbc.ca/story/arts/national/2005/07/12/Arts/potterrecycle050712.html
Harry Potter and the Half-Blood Prince,^ http://www.veritaserum.com/books/book6/releasedates.shtml
Harry Potter and the Half-Blood Prince,^ http://news.bbc.co.uk/1/hi/entertainment/arts/4578463.stm
Harry Potter and the Half-Blood Prince,^ http://www.canada.com/vancouver/story.html?id=9badf853-c1c3-4786-bf4f-75a5071e5c07
Harry Potter and the Half-Blood Prince,^ http://michaelgeist.ca/index.php?option=com_content&task=view&id=889
Harry Potter and the Half-Blood Prince,^ http://stallman.org/harry-potter.html http://stallman.org/harry-potter.html http://stallman.org/harry-potter.html
Harry Potter and the Half-Blood Prince,^ http://www.theglobeandmail.com/servlet/story/LAC.20050716.POTTERNOTE16/TPStory.
Harry Potter and the Half-Blood Prince,"[HP2]Harry Potter and the Chamber of Secrets by J. K. Rowling (1998), UK ISBN 0747538492/US ISBN 0439064864"
Harry Potter and the Half-Blood Prince,"[HP6]Harry Potter and the Half-Blood Prince by J. K. Rowling (2005), UK ISBN 0747581088/US ISBN 0439784549"
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince on  Wikipedia
Harry Potter and the Half-Blood Prince,Chapter-by-chapter analysis
Harry Potter and the Half-Blood Prince,Rowling's responses to various rumours
Harry Potter and the Half-Blood Prince,"Veritaserum's ""HBP"" section: information and theories"
Harry Potter and the Half-Blood Prince,Greenpeace's Save Muggle Forests Campaign
Harry Potter and the Half-Blood Prince,National Wildlife Federation's Harry Potter and the Half-Blood Prince campaign website
Harry Potter and the Half-Blood Prince,Press release on PRNewsWire
Harry Potter and the Half-Blood Prince,National Public Radio discusses Braille publication
Harry Potter and the Half-Blood Prince,New York Times review
Harry Potter and the Half-Blood Prince,Spoiler about character death
Harry Potter and the Deathly Hallows,Jason Cockcroft (UK)
Harry Potter and the Deathly Hallows,Jonny Duddle (UK) (Children's Edition redesign)
Harry Potter and the Deathly Hallows,Mary GrandPré (US)
Harry Potter and the Deathly Hallows,Kazu Kibuishi (US) (15th Anniversary Edition)
Harry Potter and the Deathly Hallows,Olly Moss (Pottermore eBook)
Harry Potter and the Deathly Hallows,Mary GrandPré (US)
Harry Potter and the Deathly Hallows,Stephen Fry (UK)
Harry Potter and the Deathly Hallows,Jim Dale (US)
Harry Potter and the Deathly Hallows,"Bloomsbury (UK, Canada)"
Harry Potter and the Deathly Hallows,Scholastic (US)
Harry Potter and the Deathly Hallows,Raincoast Books (Canada (formerly))
Harry Potter and the Deathly Hallows,Yapı Kredi Yayınları (Turkey)
Harry Potter and the Deathly Hallows,759 (US)
Harry Potter and the Deathly Hallows,610 (UK)
Harry Potter and the Deathly Hallows,690 (Turkey)
Harry Potter and the Deathly Hallows,1 Dedication
Harry Potter and the Deathly Hallows,2 Epigraphs
Harry Potter and the Deathly Hallows,3 Book description
Harry Potter and the Deathly Hallows,"4 Plot

4.1 Chapter 1: The Dark Lord Ascending
4.2 Chapter 2: In Memoriam
4.3 Chapter 3: The Dursleys Departing
4.4 Chapter 4: The Seven Potters
4.5 Chapter 5: Fallen Warrior
4.6 Chapter 6: The Ghoul in Pyjamas
4.7 Chapter 7: The Will of Albus Dumbledore
4.8 Chapter 8: The Wedding
4.9 Chapter 9: A Place to Hide
4.10 Chapter 10: Kreacher's Tale
4.11 Chapter 11: The Bribe
4.12 Chapter 12: Magic is Might
4.13 Chapter 13: The Muggle-Born Registration Commission
4.14 Chapter 14: The Thief
4.15 Chapter 15: The Goblin's Revenge
4.16 Chapter 16: Godric's Hollow
4.17 Chapter 17: Bathilda's Secret
4.18 Chapter 18: The Life and Lies of Albus Dumbledore
4.19 Chapter 19: The Silver Doe
4.20 Chapter 20: Xenophilius Lovegood
4.21 Chapter 21: The Tale of the Three Brothers
4.22 Chapter 22: The Deathly Hallows
4.23 Chapter 23: Malfoy Manor
4.24 Chapter 24: The Wandmaker
4.25 Chapter 25: Shell Cottage
4.26 Chapter 26: Gringotts
4.27 Chapter 27: The Final Hiding Place
4.28 Chapter 28: The Missing Mirror
4.29 Chapter 29: The Lost Diadem
4.30 Chapter 30: The Sacking of Severus Snape
4.31 Chapter 31: The Battle of Hogwarts
4.32 Chapter 32: The Elder Wand
4.33 Chapter 33: The Prince's Tale
4.34 Chapter 34: The Forest Again
4.35 Chapter 35: King's Cross
4.36 Chapter 36: The Flaw in the Plan
4.37 Epilogue: Nineteen Years Later"
Harry Potter and the Deathly Hallows,4.1 Chapter 1: The Dark Lord Ascending
Harry Potter and the Deathly Hallows,4.2 Chapter 2: In Memoriam
Harry Potter and the Deathly Hallows,4.3 Chapter 3: The Dursleys Departing
Harry Potter and the Deathly Hallows,4.4 Chapter 4: The Seven Potters
Harry Potter and the Deathly Hallows,4.5 Chapter 5: Fallen Warrior
Harry Potter and the Deathly Hallows,4.6 Chapter 6: The Ghoul in Pyjamas
Harry Potter and the Deathly Hallows,4.7 Chapter 7: The Will of Albus Dumbledore
Harry Potter and the Deathly Hallows,4.8 Chapter 8: The Wedding
Harry Potter and the Deathly Hallows,4.9 Chapter 9: A Place to Hide
Harry Potter and the Deathly Hallows,4.10 Chapter 10: Kreacher's Tale
Harry Potter and the Deathly Hallows,4.11 Chapter 11: The Bribe
Harry Potter and the Deathly Hallows,4.12 Chapter 12: Magic is Might
Harry Potter and the Deathly Hallows,4.13 Chapter 13: The Muggle-Born Registration Commission
Harry Potter and the Deathly Hallows,4.14 Chapter 14: The Thief
Harry Potter and the Deathly Hallows,4.15 Chapter 15: The Goblin's Revenge
Harry Potter and the Deathly Hallows,4.16 Chapter 16: Godric's Hollow
Harry Potter and the Deathly Hallows,4.17 Chapter 17: Bathilda's Secret
Harry Potter and the Deathly Hallows,4.18 Chapter 18: The Life and Lies of Albus Dumbledore
Harry Potter and the Deathly Hallows,4.19 Chapter 19: The Silver Doe
Harry Potter and the Deathly Hallows,4.20 Chapter 20: Xenophilius Lovegood
Harry Potter and the Deathly Hallows,4.21 Chapter 21: The Tale of the Three Brothers
Harry Potter and the Deathly Hallows,4.22 Chapter 22: The Deathly Hallows
Harry Potter and the Deathly Hallows,4.23 Chapter 23: Malfoy Manor
Harry Potter and the Deathly Hallows,4.24 Chapter 24: The Wandmaker
Harry Potter and the Deathly Hallows,4.25 Chapter 25: Shell Cottage
Harry Potter and the Deathly Hallows,4.26 Chapter 26: Gringotts
Harry Potter and the Deathly Hallows,4.27 Chapter 27: The Final Hiding Place
Harry Potter and the Deathly Hallows,4.28 Chapter 28: The Missing Mirror
Harry Potter and the Deathly Hallows,4.29 Chapter 29: The Lost Diadem
Harry Potter and the Deathly Hallows,4.30 Chapter 30: The Sacking of Severus Snape
Harry Potter and the Deathly Hallows,4.31 Chapter 31: The Battle of Hogwarts
Harry Potter and the Deathly Hallows,4.32 Chapter 32: The Elder Wand
Harry Potter and the Deathly Hallows,4.33 Chapter 33: The Prince's Tale
Harry Potter and the Deathly Hallows,4.34 Chapter 34: The Forest Again
Harry Potter and the Deathly Hallows,4.35 Chapter 35: King's Cross
Harry Potter and the Deathly Hallows,4.36 Chapter 36: The Flaw in the Plan
Harry Potter and the Deathly Hallows,4.37 Epilogue: Nineteen Years Later
Harry Potter and the Deathly Hallows,5 List of deaths
Harry Potter and the Deathly Hallows,"6 Choice of title and symbolism

6.1 Harry Potter and the Relics of Death"
Harry Potter and the Deathly Hallows,6.1 Harry Potter and the Relics of Death
Harry Potter and the Deathly Hallows,"7 Editions

7.1 English-language
7.2 Translations (cover based on Scholastic's)
7.3 Translations (alternative covers)
7.4 Hogwarts House Edition"
Harry Potter and the Deathly Hallows,7.1 English-language
Harry Potter and the Deathly Hallows,7.2 Translations (cover based on Scholastic's)
Harry Potter and the Deathly Hallows,7.3 Translations (alternative covers)
Harry Potter and the Deathly Hallows,7.4 Hogwarts House Edition
Harry Potter and the Deathly Hallows,8 Future books
Harry Potter and the Deathly Hallows,9 Film adaptation
Harry Potter and the Deathly Hallows,10 Behind the scenes
Harry Potter and the Deathly Hallows,11 Mistakes
Harry Potter and the Deathly Hallows,12 See also
Harry Potter and the Deathly Hallows,13 Notes and references
Harry Potter and the Deathly Hallows,Dr Neil Murray is Jo's husband.
Harry Potter and the Deathly Hallows,"Jessica, David, and Mackenzie are her children."
Harry Potter and the Deathly Hallows,"Di is Jo's younger sister, Dianne."
Harry Potter and the Deathly Hallows,"Anne is Jo's mother, who died at 45 of MS. (Although Jo's mother did not know of the books since she died early on, Jo has said her death had a profound influence on how the series was written)."
Harry Potter and the Deathly Hallows,The final dedication is to all the fans who have made Harry's journey their own.
Harry Potter and the Deathly Hallows,"The seven dedications could be a reference to the seven books in the series, or seven Horcruxes, or the fact that seven is the most powerful magical number."
Harry Potter and the Deathly Hallows,"To Ron, the Deluminator, with the power to douse all lights in the surrounding area."
Harry Potter and the Deathly Hallows,"To Hermione, The Tales of Beedle the Bard, a book of wizard-culture fairy tales written in Runes."
Harry Potter and the Deathly Hallows,"To Harry, Godric Gryffindor's Sword, and the first Golden Snitch Harry had ever caught in a Hogwarts Quidditch match."
Harry Potter and the Deathly Hallows,J. K. Rowling finished writing this book on 11 January 2007 in an unknown hotel room.[5]
Harry Potter and the Deathly Hallows,"This book is noted for containing more and stronger profanity than in the other books; Aberforth Dumbledore called the three Muggle children who attacked his sister, Ariana Dumbledore ""bastards"" and the trio ""bloody fools"", Hermione Granger called Ron Weasley an ""arse"", Ron Weasley called Draco Malfoy a ""two-faced bastard"" and, most notably, Molly Weasley called Bellatrix Lestrange a ""bitch"". The series covers such profanities, such as when Ron Weasley insulted Severus Snape in the third book (Chapter 9, Grim Defeat), it did not reveal the words Ron used, and when Lee Jordan insulted Draco Malfoy for playing foul in Quidditch, the word was not revealed either (Chapter 15, The Quidditch Final), and when Ron told Draco to ""go and do something that Harry was sure he would have never said in front of Mrs Weasley"". Ron also said 'effing', which is a bowdlerised version of 'f**king'. While other books had used minor instances of strong language, they had never delved beyond ""damn"" or ""hell"" (although this book uses such words with a generally higher frequency than the first six books). The previous book similarly contained some strong language, but not as much as in this book. For example, Morfin calls Merope a ""slut"" for marrying a Muggle."
Harry Potter and the Deathly Hallows,"The Three Peverell brothers are connected to Harry Potter, Severus Snape and Lord Voldemort due to the way they die. Lord Voldemort and Antioch Peverell die for power. Severus Snape and Cadmus Peverell die for love. And Harry Potter and Ignotus Peverell greet Death as an old friend and depart that life for good. It is stated that Lord Voldemort is distantly related to Cadmus, as is Harry to Ignotus."
Harry Potter and the Deathly Hallows,"In chapter seven, when Harry discusses Ginny with Ron, Harry says ""It's not as if I'm going to marry her!"" Ironically, he is married to her in the epilogue."
Harry Potter and the Deathly Hallows,This is the only book in the series to not feature any Quidditch matches.
Harry Potter and the Deathly Hallows,"In the episode of iCarly (iFence), Sam Puckett can be seen reading the American version of the 7th book because of the red page and the cover if the sleeve is removed. Freddie Benson betted her to read ""The Penny Treasure"", a fake cover was used to disguise the book in this episode."
Harry Potter and the Deathly Hallows,"Angela Biola was the manufacturing director for the American edition of this title, Karyn Browne was the managing editor and Cheryl Klein was the continuity editor."
Harry Potter and the Deathly Hallows,"In the long running series Doctor Who, the 10th Doctor played by David Tennant said that he had cried when he read book 7 which had not yet come out at the time. Coincidentally, David Tennant portrayed Barty Crouch Jnr, a main antagonist, in Harry Potter and the Goblet of Fire. In another Harry Potter reference in the same episode, William Shakespeare used Expeliarmus as the end of a formula to defeat the bad guys at the suggestion of protagonist Martha Jones, causing the Doctor to quip ""good old J.K."" with a smile."
Harry Potter and the Deathly Hallows,"The contents of the book were treated with the utmost secrecy prior to its release, such that not even a basic preview summary was released, unlike past Harry Potter titles. The book was marketed with the simple phrase ""We now present the seventh and final instalment in the epic tale of Harry Potter."" The text was present on the inside cover of all library-edition releases of the novel, as opposed to the brief premise of the book that was present in the previous 6 novels.[6]"
Harry Potter and the Deathly Hallows,Rowling introduced her favourite scene from Harry Potter and the Deathly Hallows in The Birthday Book[7] with illustrations by Quentin Blake.[8]
Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows: Part 1
Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows: Part 1 (video game)
Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows: Part 2
Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows: Part 2 (video game)
Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows (character index)
Harry Potter and the Deathly Hallows,Seventh year
Harry Potter and the Deathly Hallows,↑ https://www.nytimes.com/2007/07/22/books/22cnd-potter.html
Harry Potter and the Deathly Hallows,↑ http://mediaroom.scholastic.com/press-release/scholastic-announces-record-breaking-sales-115-million-copies-harry-potter-and-deathly
Harry Potter and the Deathly Hallows,"↑ 3.0 3.1 ""A transcript of a web chat with J.K. Rowling"" from The Leaky Cauldron"
Harry Potter and the Deathly Hallows,"↑ New details on Cursed Child, the ‘eighth Harry Potter story' by the Pottermore Team"
Harry Potter and the Deathly Hallows,↑ Finished Hallows 9 yrs ago today. Celebrated by graffiti-ing a bust in my hotel room. Never do this. It's wrong.
Harry Potter and the Deathly Hallows,↑ Arthur A. Levine Books - Harry Potter and the Deathly Hallows
Harry Potter and the Deathly Hallows,"↑ https://www.theguardian.com/books/2008/nov/13/jk-rowling-harry-potter-birthday-book JK Rowling on Harry Potter's last, long walk"
Harry Potter and the Deathly Hallows,↑ https://www.theguardian.com/books/gallery/2008/nov/12/books-quentin-blake-michael-morpurgo The Birthday Book
