Book,Character
Harry Potter and the Chamber of Secrets,Yapı Kredi Yayınları (Turkey)
Harry Potter and the Chamber of Secrets,2 July 1998 (UK)
Harry Potter and the Chamber of Secrets,2 June 1999 (US)
Harry Potter and the Chamber of Secrets,1 May 2001 (Turkey)
Harry Potter and the Chamber of Secrets,360 (UK)
Harry Potter and the Chamber of Secrets,341 (US)
Harry Potter and the Chamber of Secrets,314 (Turkey)
Harry Potter and the Chamber of Secrets,1 Dedication
Harry Potter and the Chamber of Secrets,2 Book description
Harry Potter and the Chamber of Secrets,"3 Plot

3.1 Chapter 1: The Worst Birthday
3.2 Chapter 2: Dobby's Warning
3.3 Chapter 3: The Burrow
3.4 Chapter 4: At Flourish and Blotts
3.5 Chapter 5: The Whomping Willow
3.6 Chapter 6: Gilderoy Lockhart
3.7 Chapter 7: Mudbloods And Murmurs
3.8 Chapter 8: The Deathday Party
3.9 Chapter 9: The Writing on the Wall
3.10 Chapter 10: The Rogue Bludger
3.11 Chapter 11: The Duelling Club
3.12 Chapter 12: The Polyjuice Potion
3.13 Chapter 13: The Very Secret Diary
3.14 Chapter 14: Cornelius Fudge
3.15 Chapter 15: Aragog
3.16 Chapter 16: The Chamber of Secrets
3.17 Chapter 17: The Heir of Slytherin
3.18 Chapter 18: Dobby's Reward"
Harry Potter and the Chamber of Secrets,3.1 Chapter 1: The Worst Birthday
Harry Potter and the Chamber of Secrets,3.2 Chapter 2: Dobby's Warning
Harry Potter and the Chamber of Secrets,3.3 Chapter 3: The Burrow
Harry Potter and the Chamber of Secrets,3.4 Chapter 4: At Flourish and Blotts
Harry Potter and the Chamber of Secrets,3.5 Chapter 5: The Whomping Willow
Harry Potter and the Chamber of Secrets,3.6 Chapter 6: Gilderoy Lockhart
Harry Potter and the Chamber of Secrets,3.7 Chapter 7: Mudbloods And Murmurs
Harry Potter and the Chamber of Secrets,3.8 Chapter 8: The Deathday Party
Harry Potter and the Chamber of Secrets,3.9 Chapter 9: The Writing on the Wall
Harry Potter and the Chamber of Secrets,3.10 Chapter 10: The Rogue Bludger
Harry Potter and the Chamber of Secrets,3.11 Chapter 11: The Duelling Club
Harry Potter and the Chamber of Secrets,3.12 Chapter 12: The Polyjuice Potion
Harry Potter and the Chamber of Secrets,3.13 Chapter 13: The Very Secret Diary
Harry Potter and the Chamber of Secrets,3.14 Chapter 14: Cornelius Fudge
Harry Potter and the Chamber of Secrets,3.15 Chapter 15: Aragog
